"","BTC","ETH","BNB","SOL","XRP","TRX","ADA","AVAX","BCH","DOT"
"440",69647.9921875,3705.90380859375,673.315307617188,162.083602905273,0.498582988977432,0.116881996393204,0.444106012582779,32.9683685302734,474.451934814453,6.52276277542114
"441",69512.28125,3666.71752929688,624.386840820312,158.928024291992,0.496627986431122,0.11760800331831,0.440461009740829,32.274227142334,468.922546386719,6.50744676589966
"442",67332.03125,3498.33056640625,602.55810546875,149.428985595703,0.480320006608963,0.116534002125263,0.421891003847122,31.5414752960205,446.396789550781,6.37989711761475
"443",68241.1875,3559.61767578125,619.19482421875,155.17756652832,0.491540014743805,0.116449996829033,0.437795996665955,33.2734107971191,454.109436035156,6.74171686172485
"444",66756.3984375,3469.28125,599.515075683594,147.314422607422,0.477005004882812,0.116875000298023,0.421184986829758,30.9832153320312,431.528656005859,6.36007213592529
"445",66011.09375,3480.27197265625,603.180541992188,143.094436645508,0.47427499294281,0.116411998867989,0.411682993173599,30.2910385131836,422.884063720703,6.16276121139526
"446",66191,3565.54956054688,607.802917480469,145.412216186523,0.490691006183624,0.115246996283531,0.413695007562637,29.9875373840332,429.710662841797,6.22101306915283
"447",66639.046875,3620.5634765625,610.054016113281,151.125503540039,0.488831996917725,0.117245003581047,0.416379004716873,30.0388698577881,428.152984619141,6.38806819915771
"448",66490.296875,3511.37890625,604.467346191406,143.334274291992,0.505159974098206,0.116805002093315,0.40175798535347,28.4801540374756,420.228485107422,6.07391500473022
"449",65140.74609375,3483.68139648438,588.702087402344,137.503997802734,0.490947991609573,0.115387000143528,0.38357999920845,26.6188640594482,389.314880371094,5.77565097808838
"450",64960.296875,3559.34741210938,598.771728515625,135.609603881836,0.493241012096405,0.115790002048016,0.383790999650955,26.8919410705566,388.660278320312,5.79421186447144
"451",64828.65625,3511.0869140625,587.107177734375,133.472961425781,0.488716006278992,0.116706997156143,0.384243994951248,27.5444087982178,389.861938476562,5.64076900482178
